Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
22334,Alexandria,VA,38.815762,-77.09005,-5,1,"38.815762, -77.09005"
22307,Alexandria,VA,38.774863,-77.0593,-5,1,"38.774863, -77.0593"
22302,Alexandria,VA,38.829512,-77.08204,-5,1,"38.829512, -77.08204"
22333,Alexandria,VA,38.815762,-77.09005,-5,1,"38.815762, -77.09005"
22332,Alexandria,VA,38.803142,-77.072679,-5,1,"38.803142, -77.072679"
22308,Alexandria,VA,38.728464,-77.05701,-5,1,"38.728464, -77.05701"
22301,Alexandria,VA,38.819863,-77.05854,-5,1,"38.819863, -77.05854"
22331,Alexandria,VA,38.801342,-77.070733,-5,1,"38.801342, -77.070733"
22309,Alexandria,VA,38.725214,-77.10734,-5,1,"38.725214, -77.10734"
22310,Alexandria,VA,38.782013,-77.12125,-5,1,"38.782013, -77.12125"
22304,Alexandria,VA,38.813013,-77.11667,-5,1,"38.813013, -77.11667"
22315,Alexandria,VA,38.757924,-77.15284,-5,1,"38.757924, -77.15284"
22311,Alexandria,VA,38.837312,-77.12064,-5,1,"38.837312, -77.12064"
22306,Alexandria,VA,38.757214,-77.08666,-5,1,"38.757214, -77.08666"
22336,Alexandria,VA,38.815762,-77.09005,-5,1,"38.815762, -77.09005"
22313,Alexandria,VA,38.815762,-77.09005,-5,1,"38.815762, -77.09005"
22320,Alexandria,VA,38.804413,-77.046699,-5,1,"38.804413, -77.046699"
22314,Alexandria,VA,38.806163,-77.05139,-5,1,"38.806163, -77.05139"
22312,Alexandria,VA,38.817362,-77.1537,-5,1,"38.817362, -77.1537"
22305,Alexandria,VA,38.836779,-77.06418,-5,1,"38.836779, -77.06418"
22303,Alexandria,VA,38.792863,-77.07964,-5,1,"38.792863, -77.07964"
22321,Alexandria,VA,38.831813,-77.288755,-5,1,"38.831813, -77.288755"
