Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
49005;Kalamazoo;MI;42.323045;-85.493232;-5;1;42.323045,-85.493232
49001;Kalamazoo;MI;42.278891;-85.55107;-5;1;42.278891,-85.55107
49009;Kalamazoo;MI;42.272538;-85.69255;-5;1;42.272538,-85.69255
49007;Kalamazoo;MI;42.29714;-85.58573;-5;1;42.29714,-85.58573
49008;Kalamazoo;MI;42.26549;-85.61098;-5;1;42.26549,-85.61098
49003;Kalamazoo;MI;42.245412;-85.529858;-5;1;42.245412,-85.529858
49019;Kalamazoo;MI;42.245412;-85.529858;-5;1;42.245412,-85.529858
49006;Kalamazoo;MI;42.295005;-85.62247;-5;1;42.295005,-85.62247
49048;Kalamazoo;MI;42.292335;-85.525359;-5;1;42.292335,-85.525359
49004;Kalamazoo;MI;42.330089;-85.56635;-5;1;42.330089,-85.56635
